,x_1,y_1,z_1,pt_id_1,radius_1,x_2,y_2,z_2,pt_id_2,radius_2,path_id,source,target,parallel_merges_per_path_id
0,-3.56,-3.69,0.93,2,1.068,0.0,0.0,0.0,1,7.33,0,2,1,0
1,0.0,0.0,0.0,1,7.33,-3.16,-3.68,1.26,3,1.001,1,1,6,0
2,-3.16,-3.68,1.26,3,1.001,-4.1,-4.23,1.63,4,0.9745,1,1,6,0
3,-4.1,-4.23,1.63,4,0.9745,-4.88,-4.89,1.88,5,0.977,1,1,6,0
4,-4.88,-4.89,1.88,5,0.977,-6.18,-5.53,2.43,6,1.079,1,1,6,0
5,0.0,0.0,0.0,1,7.33,3.74,2.35,-1.08,1952,7.33,2,1,1952,0
6,0.0,0.0,0.0,1,7.33,-5.63,-6.45,-3.2,1953,0.9808,3,1,1955,0
7,-5.63,-6.45,-3.2,1953,0.9808,-6.2,-7.59,-3.83,1954,0.9622,3,1,1955,0
8,-6.2,-7.59,-3.83,1954,0.9622,-6.82,-8.69,-4.96,1955,1.516,3,1,1955,0
9,0.0,0.0,0.0,1,7.33,4.24,-7.97,1.09,4263,0.854,4,1,4281,0
10,4.24,-7.97,1.09,4263,0.854,4.64,-8.71,1.31,4264,0.5345,4,1,4281,0
11,4.64,-8.71,1.31,4264,0.5345,4.88,-9.43,1.38,4265,0.4399,4,1,4281,0
12,4.88,-9.43,1.38,4265,0.4399,5.18,-9.93,1.52,4266,0.3933,4,1,4281,0
13,5.18,-9.93,1.52,4266,0.3933,5.54,-10.45,1.79,4267,0.3677,4,1,4281,0
14,5.54,-10.45,1.79,4267,0.3677,5.82,-11.0,2.04,4268,0.301,4,1,4281,0
15,5.82,-11.0,2.04,4268,0.301,5.92,-11.3,2.11,4269,0.3088,4,1,4281,0
16,5.92,-11.3,2.11,4269,0.3088,5.99,-11.64,2.17,4270,0.3169,4,1,4281,0
17,5.99,-11.64,2.17,4270,0.3169,6.06,-11.98,2.19,4271,0.3606,4,1,4281,0
18,6.06,-11.98,2.19,4271,0.3606,6.19,-12.39,2.27,4272,0.4257,4,1,4281,0
19,6.19,-12.39,2.27,4272,0.4257,6.54,-12.97,2.64,4273,0.4815,4,1,4281,0
20,6.54,-12.97,2.64,4273,0.4815,6.86,-13.79,2.78,4274,0.3781,4,1,4281,0
21,6.86,-13.79,2.78,4274,0.3781,6.99,-14.15,2.87,4275,0.4433,4,1,4281,0
22,6.99,-14.15,2.87,4275,0.4433,7.18,-14.76,2.98,4276,0.3827,4,1,4281,0
23,7.18,-14.76,2.98,4276,0.3827,7.46,-15.4,3.14,4277,0.3754,4,1,4281,0
24,7.46,-15.4,3.14,4277,0.3754,7.62,-16.06,3.32,4278,0.5561,4,1,4281,0
25,7.62,-16.06,3.32,4278,0.5561,7.99,-16.68,3.48,4279,0.7888,4,1,4281,0
26,7.99,-16.68,3.48,4279,0.7888,8.35,-17.4,3.64,4280,0.8657,4,1,4281,0
27,8.35,-17.4,3.64,4280,0.8657,9.0,-18.62,3.89,4281,1.01,4,1,4281,0
28,0.0,0.0,0.0,1,7.33,8.97,-0.88,-0.72,5284,1.264,5,1,5302,0
29,8.97,-0.88,-0.72,5284,1.264,10.43,-0.84,-0.79,5285,0.9109,5,1,5302,0
30,10.43,-0.84,-0.79,5285,0.9109,11.34,-0.86,-0.84,5286,0.7859,5,1,5302,0
31,11.34,-0.86,-0.84,5286,0.7859,12.28,-0.99,-0.9,5287,0.8837,5,1,5302,0
32,12.28,-0.99,-0.9,5287,0.8837,13.2,-1.2,-0.96,5288,0.9012,5,1,5302,0
33,13.2,-1.2,-0.96,5288,0.9012,14.18,-1.1,-1.02,5289,0.9306,5,1,5302,0
34,14.18,-1.1,-1.02,5289,0.9306,15.14,-1.29,-1.1,5290,0.8808,5,1,5302,0
35,15.14,-1.29,-1.1,5290,0.8808,16.08,-1.56,-1.16,5291,0.7798,5,1,5302,0
36,16.08,-1.56,-1.16,5291,0.7798,17.0,-2.04,-1.23,5292,0.6331,5,1,5302,0
37,17.0,-2.04,-1.23,5292,0.6331,18.01,-2.34,-1.17,5293,0.8445,5,1,5302,0
38,18.01,-2.34,-1.17,5293,0.8445,19.02,-2.47,-0.97,5294,0.8175,5,1,5302,0
39,19.02,-2.47,-0.97,5294,0.8175,19.9,-2.76,-0.87,5295,0.7876,5,1,5302,0
40,19.9,-2.76,-0.87,5295,0.7876,20.73,-3.37,-0.79,5296,0.8306,5,1,5302,0
41,20.73,-3.37,-0.79,5296,0.8306,22.06,-3.97,-0.65,5297,1.028,5,1,5302,0
42,22.06,-3.97,-0.65,5297,1.028,23.05,-4.3,-0.64,5298,0.9365,5,1,5302,0
43,23.05,-4.3,-0.64,5298,0.9365,24.01,-4.39,-0.74,5299,0.7013,5,1,5302,0
44,24.01,-4.39,-0.74,5299,0.7013,24.78,-4.43,-0.8,5300,0.7282,5,1,5302,0
45,24.78,-4.43,-0.8,5300,0.7282,25.49,-4.61,-0.86,5301,0.8772,5,1,5302,0
46,25.49,-4.61,-0.86,5301,0.8772,26.43,-4.84,-0.93,5302,0.7653,5,1,5302,0
47,0.0,0.0,0.0,1,7.33,7.95,1.22,1.95,6892,0.8967,6,1,6901,1
48,7.95,1.22,1.95,6892,0.8967,8.79,1.38,2.27,6893,0.728,6,1,6901,1
49,8.79,1.38,2.27,6893,0.728,9.56,1.65,2.48,6894,0.6387,6,1,6901,1
50,9.56,1.65,2.48,6894,0.6387,10.3,1.96,2.64,6895,0.6136,6,1,6901,1
51,10.3,1.96,2.64,6895,0.6136,11.2,2.21,3.03,6896,0.6118,6,1,6901,1
52,11.2,2.21,3.03,6896,0.6118,12.99,2.41,3.45,6898,0.5574,6,1,6901,1
53,12.99,2.41,3.45,6898,0.5574,13.91,2.37,3.59,6899,0.5618,6,1,6901,1
54,13.91,2.37,3.59,6899,0.5618,14.83,2.31,3.76,6900,0.6608,6,1,6901,1
55,14.83,2.31,3.76,6900,0.6608,15.68,2.25,3.91,6901,0.7057,6,1,6901,1
56,0.0,0.0,0.0,1,7.33,-0.53,14.08,-1.57,8012,2.194,7,1,8018,0
57,-0.53,14.08,-1.57,8012,2.194,-0.65,16.33,-1.61,8013,1.952,7,1,8018,0
58,-0.65,16.33,-1.61,8013,1.952,-0.98,18.7,-1.59,8014,1.719,7,1,8018,0
59,-0.98,18.7,-1.59,8014,1.719,-1.26,21.19,-1.55,8015,1.844,7,1,8018,0
60,-1.26,21.19,-1.55,8015,1.844,-1.73,24.15,-1.67,8016,1.435,7,1,8018,0
61,-1.73,24.15,-1.67,8016,1.435,-1.62,26.78,-1.61,8017,1.935,7,1,8018,0
62,-1.62,26.78,-1.61,8017,1.935,-1.89,28.92,-1.62,8018,2.116,7,1,8018,0
63,-6.18,-5.53,2.43,6,1.079,-8.46,-4.6,3.25,7,0.5566,8,6,18,0
64,-8.46,-4.6,3.25,7,0.5566,-8.87,-3.88,3.29,8,0.4563,8,6,18,0
65,-8.87,-3.88,3.29,8,0.4563,-9.28,-3.32,3.35,9,0.4523,8,6,18,0
66,-9.28,-3.32,3.35,9,0.4523,-9.84,-2.83,3.35,10,0.5244,8,6,18,0
67,-9.84,-2.83,3.35,10,0.5244,-10.57,-2.61,3.36,11,0.3972,8,6,18,0
68,-10.57,-2.61,3.36,11,0.3972,-10.99,-2.58,3.37,12,0.4217,8,6,18,0
69,-10.99,-2.58,3.37,12,0.4217,-11.42,-2.75,3.42,13,0.3835,8,6,18,0
70,-11.42,-2.75,3.42,13,0.3835,-11.79,-2.91,3.51,14,0.3638,8,6,18,0
71,-11.79,-2.91,3.51,14,0.3638,-12.2,-3.12,3.64,15,0.3699,8,6,18,0
72,-12.2,-3.12,3.64,15,0.3699,-12.68,-3.25,3.84,16,0.441,8,6,18,0
73,-12.68,-3.25,3.84,16,0.441,-13.23,-3.24,3.91,17,0.6113,8,6,18,0
74,-13.23,-3.24,3.91,17,0.6113,-14.76,-2.95,3.9,18,0.8375,8,6,18,0
