,x_1,y_1,z_1,pt_id_1,radius_1,x_2,y_2,z_2,pt_id_2,radius_2,path_id,source,target,parallel_merges_per_path_id
0,6.51,31.21,-18.86,3,5.77,7.53,31.08,-18.86,2,6.33,0,3,3148,0
1,7.53,31.08,-18.86,2,6.33,9.0,29.66,-18.86,1,6.795,0,3,3148,0
2,9.0,29.66,-18.86,1,6.795,10.74,26.97,-22.17,3140,6.795,0,3,3148,0
3,10.74,26.97,-22.17,3140,6.795,9.48,21.76,-18.8,3141,4.56,0,3,3148,0
4,9.48,21.76,-18.8,3141,4.56,8.61,19.8,-18.8,3142,4.655,0,3,3148,0
5,8.61,19.8,-18.8,3142,4.655,7.78,18.04,-18.8,3143,3.63,0,3,3148,0
6,7.78,18.04,-18.8,3143,3.63,7.15,16.26,-18.8,3144,3.165,0,3,3148,0
7,7.15,16.26,-18.8,3144,3.165,7.71,17.48,-16.82,3145,2.045,0,3,3148,0
8,7.71,17.48,-16.82,3145,2.045,7.59,16.46,-16.82,3146,2.045,0,3,3148,0
9,7.59,16.46,-16.82,3146,2.045,7.11,14.25,-16.82,3147,1.955,0,3,3148,0
10,7.11,14.25,-16.82,3147,1.955,7.06,13.8,-16.82,3148,1.955,0,3,3148,0
11,6.51,31.21,-18.86,3,5.77,4.55,32.07,-21.01,4,5.77,1,3,6,0
12,4.55,32.07,-21.01,4,5.77,1.18,33.1,-22.88,5,4.56,1,3,6,0
13,1.18,33.1,-22.88,5,4.56,-1.05,31.72,-23.38,6,4.56,1,3,6,0
14,6.51,31.21,-18.86,3,5.77,-5.19,29.05,-16.77,2339,1.305,2,3,2345,0
15,-5.19,29.05,-16.77,2339,1.305,-4.74,29.4,-16.77,2340,1.49,2,3,2345,0
16,-4.74,29.4,-16.77,2340,1.49,-7.3,28.68,-17.76,2341,1.49,2,3,2345,0
17,-7.3,28.68,-17.76,2341,1.49,-9.36,28.73,-17.76,2342,1.49,2,3,2345,0
18,-9.36,28.73,-17.76,2342,1.49,-11.97,27.61,-18.59,2343,1.305,2,3,2345,0
19,-11.97,27.61,-18.59,2343,1.305,-13.03,27.32,-18.59,2344,1.305,2,3,2345,0
20,-13.03,27.32,-18.59,2344,1.305,-13.64,27.4,-21.12,2345,1.58,2,3,2345,0
21,-1.05,31.72,-23.38,6,4.56,-3.16,29.71,-24.15,7,4.56,3,6,11,0
22,-3.16,29.71,-24.15,7,4.56,-1.6,27.25,-23.71,8,4.56,3,6,11,0
23,-1.6,27.25,-23.71,8,4.56,-3.02,25.77,-25.8,9,3.255,3,6,11,0
24,-3.02,25.77,-25.8,9,3.255,-3.25,25.59,-25.8,10,2.7,3,6,11,0
25,-3.25,25.59,-25.8,10,2.7,-4.19,24.68,-25.8,11,2.045,3,6,11,0
26,-1.05,31.72,-23.38,6,4.56,-6.58,31.74,-16.55,1578,1.77,4,6,1581,0
27,-6.58,31.74,-16.55,1578,1.77,-8.71,32.82,-9.74,1579,1.77,4,6,1581,0
28,-8.71,32.82,-9.74,1579,1.77,-9.73,32.95,-9.74,1580,1.77,4,6,1581,0
29,-9.73,32.95,-9.74,1580,1.77,-11.33,33.35,-6.71,1581,1.955,4,6,1581,0
30,-4.19,24.68,-25.8,11,2.045,10.85,34.6,-26.9,12,3.445,5,11,15,0
31,10.85,34.6,-26.9,12,3.445,10.65,34.63,-26.9,13,3.445,5,11,15,0
32,10.65,34.63,-26.9,13,3.445,11.25,36.2,-26.9,14,3.63,5,11,15,0
33,11.25,36.2,-26.9,14,3.63,11.65,37.81,-30.64,15,3.165,5,11,15,0
34,-4.19,24.68,-25.8,11,2.045,-0.77,27.46,-30.36,1009,1.49,6,11,1022,0
35,-0.77,27.46,-30.36,1009,1.49,-2.41,25.8,-30.36,1010,1.77,6,11,1022,0
36,-2.41,25.8,-30.36,1010,1.77,-3.73,25.13,-30.36,1011,1.21,6,11,1022,0
37,-3.73,25.13,-30.36,1011,1.21,-5.18,23.45,-30.36,1012,1.21,6,11,1022,0
38,-5.18,23.45,-30.36,1012,1.21,-6.06,21.29,-30.36,1013,1.21,6,11,1022,0
39,-6.06,21.29,-30.36,1013,1.21,-6.26,19.66,-30.36,1014,1.21,6,11,1022,0
40,-6.26,19.66,-30.36,1014,1.21,-5.88,17.76,-31.3,1015,1.21,6,11,1022,0
41,-5.88,17.76,-31.3,1015,1.21,-4.68,15.75,-33.99,1016,1.58,6,11,1022,0
42,-4.68,15.75,-33.99,1016,1.58,-4.76,13.29,-32.89,1017,1.305,6,11,1022,0
43,-4.76,13.29,-32.89,1017,1.305,-5.81,11.55,-33.39,1018,1.115,6,11,1022,0
44,-5.81,11.55,-33.39,1018,1.115,-6.01,9.93,-33.39,1019,1.115,6,11,1022,0
45,-6.01,9.93,-33.39,1019,1.115,-6.77,8.77,-33.39,1020,1.115,6,11,1022,0
46,-6.77,8.77,-33.39,1020,1.115,-6.64,6.49,-35.26,1021,1.395,6,11,1022,0
47,-6.64,6.49,-35.26,1021,1.395,-6.18,5.2,-35.53,1022,1.395,6,11,1022,0
48,11.65,37.81,-30.64,15,3.165,15.87,38.53,-35.09,16,1.395,7,15,21,0
49,15.87,38.53,-35.09,16,1.395,17.95,40.34,-35.09,17,1.115,7,15,21,0
50,17.95,40.34,-35.09,17,1.115,20.28,40.88,-34.38,18,0.93,7,15,21,0
51,20.28,40.88,-34.38,18,0.93,23.58,40.88,-36.25,19,0.93,7,15,21,0
52,23.58,40.88,-36.25,19,0.93,25.31,41.5,-39.6,20,0.835,7,15,21,0
53,25.31,41.5,-39.6,20,0.835,25.43,41.36,-39.6,21,0.835,7,15,21,0
54,11.65,37.81,-30.64,15,3.165,12.92,41.37,-30.58,528,1.305,8,15,529,0
55,12.92,41.37,-30.58,528,1.305,13.47,42.15,-30.58,529,1.305,8,15,529,0
56,25.43,41.36,-39.6,21,0.835,27.95,41.17,-41.91,22,0.835,9,21,23,0
57,27.95,41.17,-41.91,22,0.835,28.09,41.09,-41.91,23,0.835,9,21,23,0
58,25.43,41.36,-39.6,21,0.835,25.43,43.2,-49.17,360,0.65,10,21,363,0
59,25.43,43.2,-49.17,360,0.65,25.47,44.57,-49.17,361,0.93,10,21,363,0
60,25.47,44.57,-49.17,361,0.93,25.06,46.82,-53.74,362,0.65,10,21,363,0
61,25.06,46.82,-53.74,362,0.65,24.44,48.46,-53.74,363,0.65,10,21,363,0
62,28.09,41.09,-41.91,23,0.835,28.73,42.52,-41.91,24,0.835,11,23,30,0
63,28.73,42.52,-41.91,24,0.835,31.73,41.74,-45.1,25,0.65,11,23,30,0
64,31.73,41.74,-45.1,25,0.65,34.72,40.96,-45.1,26,0.65,11,23,30,0
65,34.72,40.96,-45.1,26,0.65,34.75,42.34,-48.67,27,1.49,11,23,30,0
66,34.75,42.34,-48.67,27,1.49,37.0,42.96,-48.67,28,1.58,11,23,30,0
67,37.0,42.96,-48.67,28,1.58,38.22,43.16,-48.67,29,1.58,11,23,30,0
68,38.22,43.16,-48.67,29,1.58,38.64,44.8,-48.67,30,1.58,11,23,30,0
69,28.09,41.09,-41.91,23,0.835,29.32,39.65,-40.26,330,0.37,12,23,359,0
70,29.32,39.65,-40.26,330,0.37,30.14,37.81,-43.84,331,0.37,12,23,359,0
71,30.14,37.81,-43.84,331,0.37,32.79,35.35,-48.46,332,0.37,12,23,359,0
72,32.79,35.35,-48.46,332,0.37,34.44,33.92,-50.71,333,0.65,12,23,359,0
73,34.44,33.92,-50.71,333,0.65,35.46,33.29,-50.71,334,0.65,12,23,359,0
74,35.46,33.29,-50.71,334,0.65,35.67,33.29,-50.71,335,0.65,12,23,359,0
75,35.67,33.29,-50.71,335,0.65,36.28,31.87,-59.35,336,0.65,12,23,359,0
76,36.28,31.87,-59.35,336,0.65,38.74,31.05,-61.93,337,0.65,12,23,359,0
77,38.74,31.05,-61.93,337,0.65,38.74,31.05,-62.04,338,0.65,12,23,359,0
78,38.74,31.05,-62.04,338,0.65,40.99,30.64,-69.41,339,0.65,12,23,359,0
79,40.99,30.64,-69.41,339,0.65,43.65,33.71,-70.56,340,0.465,12,23,359,0
80,43.65,33.71,-70.56,340,0.465,46.31,34.33,-72.55,341,0.465,12,23,359,0
81,46.31,34.33,-72.55,341,0.465,50.41,33.92,-73.59,342,0.465,12,23,359,0
82,50.41,33.92,-73.59,342,0.465,52.87,34.11,-78.48,343,0.465,12,23,359,0
83,52.87,34.11,-78.48,343,0.465,55.73,34.11,-81.68,344,0.465,12,23,359,0
84,55.73,34.11,-81.68,344,0.465,57.98,32.89,-83.88,345,0.465,12,23,359,0
85,57.98,32.89,-83.88,345,0.465,60.44,34.94,-83.88,346,0.465,12,23,359,0
86,60.44,34.94,-83.88,346,0.465,60.64,35.15,-83.88,347,0.465,12,23,359,0
87,60.64,35.15,-83.88,347,0.465,62.08,36.17,-89.6,348,0.465,12,23,359,0
88,62.08,36.17,-89.6,348,0.465,63.31,37.4,-89.6,349,0.465,12,23,359,0
89,63.31,37.4,-89.6,349,0.465,64.73,37.81,-94.49,350,0.465,12,23,359,0
90,64.73,37.81,-94.49,350,0.465,67.59,38.63,-94.55,351,0.465,12,23,359,0
91,67.59,38.63,-94.55,351,0.465,70.06,39.65,-91.8,352,0.465,12,23,359,0
92,70.06,39.65,-91.8,352,0.465,70.88,38.84,-91.8,353,0.465,12,23,359,0
93,70.88,38.84,-91.8,353,0.465,71.08,38.84,-91.8,354,0.465,12,23,359,0
94,71.08,38.84,-91.8,354,0.465,71.9,39.65,-91.8,355,0.465,12,23,359,0
95,71.9,39.65,-91.8,355,0.465,72.31,39.45,-91.8,356,0.465,12,23,359,0
96,72.31,39.45,-91.8,356,0.465,73.34,39.25,-93.72,357,0.465,12,23,359,0
97,73.34,39.25,-93.72,357,0.465,75.38,39.45,-93.72,358,0.465,12,23,359,0
98,75.38,39.45,-93.72,358,0.465,77.23,39.65,-93.72,359,0.465,12,23,359,0
99,38.64,44.8,-48.67,30,1.58,41.51,44.19,-48.67,31,0.835,13,30,31,0
100,38.64,44.8,-48.67,30,1.58,35.86,46.28,-52.14,236,1.21,14,30,238,0
101,35.86,46.28,-52.14,236,1.21,36.28,48.53,-52.14,237,1.21,14,30,238,0
102,36.28,48.53,-52.14,237,1.21,36.9,49.15,-52.14,238,1.21,14,30,238,0
103,41.51,44.19,-48.67,31,0.835,43.35,43.57,-49.23,32,0.835,15,31,33,0
104,43.35,43.57,-49.23,32,0.835,43.96,43.78,-49.23,33,0.835,15,31,33,0
105,41.51,44.19,-48.67,31,0.835,42.02,42.59,-47.74,176,0.835,16,31,178,0
106,42.02,42.59,-47.74,176,0.835,42.22,42.59,-47.74,177,0.835,16,31,178,0
107,42.22,42.59,-47.74,177,0.835,43.65,41.36,-47.74,178,0.835,16,31,178,0
108,43.96,43.78,-49.23,33,0.835,45.32,42.88,-48.34,34,0.465,17,33,34,0
109,43.96,43.78,-49.23,33,0.835,44.68,45.25,-49.67,130,0.465,18,33,175,0
110,44.68,45.25,-49.67,130,0.465,47.95,45.87,-49.67,131,0.465,18,33,175,0
111,47.95,45.87,-49.67,131,0.465,52.25,46.28,-52.69,132,0.465,18,33,175,0
112,52.25,46.28,-52.69,132,0.465,56.14,47.1,-55.66,133,0.465,18,33,175,0
113,56.14,47.1,-55.66,133,0.465,59.01,45.87,-55.66,134,0.465,18,33,175,0
114,59.01,45.87,-55.66,134,0.465,59.62,45.66,-55.66,135,0.465,18,33,175,0
115,59.62,45.66,-55.66,135,0.465,62.49,46.28,-55.66,136,0.465,18,33,175,0
116,62.49,46.28,-55.66,136,0.465,62.28,46.89,-57.2,137,0.465,18,33,175,0
117,62.28,46.89,-57.2,137,0.465,64.12,49.35,-59.79,138,0.465,18,33,175,0
118,64.12,49.35,-59.79,138,0.465,65.76,51.4,-60.56,139,0.465,18,33,175,0
119,65.76,51.4,-60.56,139,0.465,65.76,51.4,-61.6,140,0.465,18,33,175,0
120,65.76,51.4,-61.6,140,0.465,67.2,52.84,-61.6,141,0.465,18,33,175,0
121,67.2,52.84,-61.6,141,0.465,68.42,56.12,-63.97,142,0.465,18,33,175,0
122,68.42,56.12,-63.97,142,0.465,69.65,56.53,-63.97,143,0.465,18,33,175,0
123,69.65,56.53,-63.97,143,0.465,70.06,56.73,-63.97,144,0.465,18,33,175,0
124,70.06,56.73,-63.97,144,0.465,70.68,57.96,-66.06,145,0.465,18,33,175,0
125,70.68,57.96,-66.06,145,0.465,70.88,57.96,-66.11,146,0.465,18,33,175,0
126,70.88,57.96,-66.11,146,0.465,72.52,58.99,-68.37,147,0.465,18,33,175,0
127,72.52,58.99,-68.37,147,0.465,74.77,59.81,-68.37,148,0.465,18,33,175,0
128,74.77,59.81,-68.37,148,0.465,77.23,58.78,-70.73,149,0.465,18,33,175,0
129,77.23,58.78,-70.73,149,0.465,81.73,58.58,-74.86,150,0.465,18,33,175,0
130,81.73,58.58,-74.86,150,0.465,83.37,58.37,-79.15,151,0.465,18,33,175,0
131,83.37,58.37,-79.15,151,0.465,86.64,57.55,-79.15,152,0.465,18,33,175,0
132,86.64,57.55,-79.15,152,0.465,90.33,57.35,-83.43,153,0.465,18,33,175,0
133,90.33,57.35,-83.43,153,0.465,94.01,57.14,-85.03,154,0.465,18,33,175,0
134,94.01,57.14,-85.03,154,0.465,94.01,57.14,-85.36,155,0.465,18,33,175,0
135,94.01,57.14,-85.36,155,0.465,96.47,56.73,-85.36,156,0.465,18,33,175,0
136,96.47,56.73,-85.36,156,0.465,100.2,55.91,-87.51,157,0.465,18,33,175,0
137,100.2,55.91,-87.51,157,0.465,102.0,54.89,-87.51,158,0.465,18,33,175,0
138,102.0,54.89,-87.51,158,0.465,102.2,54.68,-87.51,159,0.465,18,33,175,0
139,102.2,54.68,-87.51,159,0.465,104.5,53.66,-87.51,160,0.465,18,33,175,0
140,104.5,53.66,-87.51,160,0.465,108.1,53.04,-87.51,161,0.465,18,33,175,0
141,108.1,53.04,-87.51,161,0.465,111.4,52.43,-91.25,162,0.465,18,33,175,0
142,111.4,52.43,-91.25,162,0.465,113.1,51.81,-91.25,163,0.465,18,33,175,0
143,113.1,51.81,-91.25,163,0.465,113.3,51.81,-91.25,164,0.465,18,33,175,0
144,113.3,51.81,-91.25,164,0.465,117.3,50.58,-88.93,165,0.465,18,33,175,0
145,117.3,50.58,-88.93,165,0.465,120.4,49.35,-88.93,166,0.465,18,33,175,0
146,120.4,49.35,-88.93,166,0.465,124.7,49.15,-86.3,167,0.465,18,33,175,0
147,124.7,49.15,-86.3,167,0.465,127.0,48.12,-86.3,168,0.465,18,33,175,0
148,127.0,48.12,-86.3,168,0.465,127.2,47.71,-86.3,169,0.465,18,33,175,0
149,127.2,47.71,-86.3,169,0.465,128.4,46.28,-86.3,170,0.465,18,33,175,0
