,x_1,y_1,z_1,pt_id_1,radius_1,x_2,y_2,z_2,pt_id_2,radius_2,path_id,source,target,parallel_merges_per_path_id
0,-1013.23,122.34,569.6,4,4.9135,-1014.16,145.891,560.32,3,2.0332,0,4,933,0
1,-1014.16,145.891,560.32,3,2.0332,-1010.91,184.771,553.686,2,4.3219,0,4,933,0
2,-1010.91,184.771,553.686,2,4.3219,-1008.62,194.582,554.245,1,4.3219,0,4,933,0
3,-1008.62,194.582,554.245,1,4.3219,-957.101,346.087,573.044,939,3.93223,0,4,933,0
4,-957.101,346.087,573.044,939,3.93223,-960.472,357.172,546.379,938,3.93223,0,4,933,0
5,-960.472,357.172,546.379,938,3.93223,-959.046,355.869,520.362,937,12.7018,0,4,933,0
6,-959.046,355.869,520.362,937,12.7018,-952.199,350.333,495.873,936,12.909,0,4,933,0
7,-952.199,350.333,495.873,936,12.909,-950.771,352.004,501.672,935,6.28972,0,4,933,0
8,-950.771,352.004,501.672,935,6.28972,-959.163,342.202,467.643,934,6.28972,0,4,933,0
9,-959.163,342.202,467.643,934,6.28972,-1071.29,387.569,457.402,933,17.925,0,4,933,0
10,-1013.23,122.34,569.6,4,4.9135,-1034.09,105.757,573.712,5,2.26802,1,4,8,0
11,-1034.09,105.757,573.712,5,2.26802,-1053.32,89.6854,569.584,6,2.26802,1,4,8,0
12,-1053.32,89.6854,569.584,6,2.26802,-1070.66,74.0553,559.354,7,7.53904,1,4,8,0
13,-1070.66,74.0553,559.354,7,7.53904,-1078.02,54.1733,567.773,8,7.53904,1,4,8,0
14,-1013.23,122.34,569.6,4,4.9135,-1017.34,101.695,583.973,19,5.58022,2,4,20,0
15,-1017.34,101.695,583.973,19,5.58022,-1021.1,86.0826,598.269,20,5.58022,2,4,20,0
16,-1078.02,54.1733,567.773,8,7.53904,-1082.8,55.9096,540.784,9,8.42719,3,8,10,0
17,-1082.8,55.9096,540.784,9,8.42719,-1091.86,53.5936,516.505,10,8.42719,3,8,10,0
