,x_1,y_1,z_1,pt_id_1,radius_1,x_2,y_2,z_2,pt_id_2,radius_2,path_id,source,target,parallel_merges_per_path_id
0,0.0,0.0,0.0,1,6.184,-0.39,0.87,5.11,2,5.054,0,1,3,0
1,-0.39,0.87,5.11,2,5.054,-0.85,0.09,10.25,3,4.481,0,1,3,0
2,0.0,0.0,0.0,1,6.184,-0.22,3.75,9.64,4,0.535,1,1,10,1
3,-0.22,3.75,9.64,4,0.535,-0.43,5.04,9.64,5,0.535,1,1,10,1
4,-0.43,5.04,9.64,5,0.535,-0.29,6.65,9.64,6,0.535,1,1,10,1
5,-0.29,6.65,9.64,6,0.535,0.65,8.01,9.64,7,0.535,1,1,10,1
6,0.65,8.01,9.64,7,0.535,1.42,9.76,9.64,9,0.635,1,1,10,1
7,1.42,9.76,9.64,9,0.635,2.43,10.59,9.64,10,0.635,1,1,10,1
8,0.0,0.0,0.0,1,6.184,-0.97,2.33,14.77,848,0.88,2,1,850,0
9,-0.97,2.33,14.77,848,0.88,-3.2,4.85,14.77,849,0.88,2,1,850,0
10,-3.2,4.85,14.77,849,0.88,-3.5,8.58,14.77,850,0.685,2,1,850,0
11,0.0,0.0,0.0,1,6.184,-3.42,-2.93,-5.69,1714,1.075,3,1,1721,0
12,-3.42,-2.93,-5.69,1714,1.075,-5.32,-2.19,-5.69,1715,1.075,3,1,1721,0
13,-5.32,-2.19,-5.69,1715,1.075,-8.41,-1.71,-5.69,1716,1.075,3,1,1721,0
14,-8.41,-1.71,-5.69,1716,1.075,-10.56,-1.25,-5.69,1717,0.88,3,1,1721,0
15,-10.56,-1.25,-5.69,1717,0.88,-13.7,-0.51,-5.69,1718,0.685,3,1,1721,0
16,-13.7,-0.51,-5.69,1718,0.685,-14.95,-0.52,-0.56,1719,0.78,3,1,1721,0
17,-14.95,-0.52,-0.56,1719,0.78,-16.5,0.94,-0.56,1720,0.78,3,1,1721,0
18,-16.5,0.94,-0.56,1720,0.78,-18.2,2.28,-0.56,1721,0.78,3,1,1721,0
19,0.0,0.0,0.0,1,6.184,-0.43,0.18,-10.22,2253,0.44,4,1,2254,0
20,-0.43,0.18,-10.22,2253,0.44,-0.43,0.18,-15.35,2254,0.44,4,1,2254,0
21,0.0,0.0,0.0,1,6.184,-3.54,-3.08,5.11,2625,0.535,5,1,2630,0
22,-3.54,-3.08,5.11,2625,0.535,-6.93,-4.39,5.11,2626,0.535,5,1,2630,0
23,-6.93,-4.39,5.11,2626,0.535,-8.78,-4.67,5.11,2627,0.535,5,1,2630,0
24,-8.78,-4.67,5.11,2627,0.535,-10.75,-5.11,5.11,2628,0.535,5,1,2630,0
25,-10.75,-5.11,5.11,2628,0.535,-12.99,-6.06,5.11,2629,0.535,5,1,2630,0
26,-12.99,-6.06,5.11,2629,0.535,-14.77,-6.28,5.11,2630,0.635,5,1,2630,0
27,0.0,0.0,0.0,1,6.184,2.69,-1.67,10.22,2799,0.585,6,1,2803,0
