,name,degree_distribution_mean,degree_distribution_std,2nd_order_degree_mean,2nd_order_degree_std,network_diameter,average_shortest_path_length,average_clustering,transitivity,N_number_of_nodes,log_N,network_diameter/log(N),max_degree,network_diameter_tree_std,network_diameter_tree_mean,is_not_tree,z-score_n_dia
7,mitochondrial,2.39,0.95,6.26,2.55,11,5.552459016393443,0.043715846994535526,0.06976744186046512,61,4.110873864173311,2.675830094390911,4,3.6093628246547893,20.15,1,8.208112773264062
2,monkey_neuron,1.99,1.11,5.17,2.97,20,9.777963971512358,0.0,0.0,155,5.043425116919247,3.9655590271194328,8,6.851824574520279,37.45,0,15.229976627720148
5,vascular_3,2.97,0.22,8.57,1.05,22,10.383563979335147,0.029150823827629898,0.029690189328743545,789,6.670766320845874,3.2979719183463065,4,14.313979181206042,89.1,1,8.996164447739352
1,rat_neuron,1.99,1.0,4.96,2.27,21,10.455390874745714,0.0,0.0,186,5.225746673713202,4.018564486800555,3,7.851114570556208,40.6,0,15.818662906964917
4,vascular_2,2.99,0.29,8.76,1.18,22,10.719586300934273,0.022621809744779578,0.021897810218978103,862,6.759255270663693,3.254796441182464,4,12.76900544286829,91.95,1,14.798969315863541
6,vascular_1,3.02,0.26,8.91,1.05,27,12.545007308910936,0.0196833547282841,0.02,1558,7.351158226430694,3.6728906069417677,5,15.844241856270687,119.4,1,18.658504005876317
9,root_2,2.0,1.12,5.23,2.73,35,16.339522358443766,0.0,0.0,412,6.021023349349527,5.812965333174,9,8.932384899902154,59.75,0,31.22891391446712
3,zebrafish_neuron,1.99,1.04,5.05,2.45,46,16.757413596175812,0.0,0.0,308,5.730099782973574,8.027783414293143,7,7.835815209663893,50.0,0,32.14713941794362
0,human_neuron,2.0,1.04,5.06,2.53,49,21.227110874842023,0.0,0.0,632,6.448889394146858,7.598207537017674,9,7.217340230306453,74.9,0,43.1550336241585
8,root_1,2.0,1.08,5.15,2.41,95,40.117042855293256,0.0,0.0,987,6.894670039433482,13.77875945573255,5,12.814444974324875,97.7,0,84.06227159993182
14,fruit_fly_4,2.13,1.1,5.63,3.0,235,53.88652986864491,0.005565996726849967,0.016775111834078895,32769,10.397238225511654,22.60215596708957,20,90.63945057203293,597.3,1,224.5645474278069
11,fruit_fly_2,2.04,1.03,5.2,2.42,289,59.86939012835293,0.0013456523153779557,0.004165261717277902,31710,10.364387367532393,27.883944294220896,9,91.33487833243115,584.8,1,282.59718860223904
13,fruit_fly_1,2.05,1.03,5.26,2.46,602,73.41581973108096,0.0016202010349779146,0.004379286478323791,98424,11.497039955740005,52.361303632718595,9,153.31617657638088,1044.5,1,588.3640554672852
10,anthill,2.0,1.11,5.24,2.47,324,130.62451343766347,0.0,0.0,15570,9.653101264828043,33.5643428066505,6,57.237575070926965,405.6,0,321.3544865971926
12,fruit_fly_3,2.01,1.03,5.12,2.36,482,143.1934484093522,0.00023493249922140527,0.0006266482153581034,49234,10.804339720721092,44.61170348758997,7,76.5990208814708,721.3,1,474.0420965104288
