,name,N_number_of_nodes_2D_min,N_number_of_nodes_3D_min,N_number_of_nodes_2D_max,N_number_of_nodes_3D_max,N_number_of_nodes,log_N,network_diameter_1D,network_diameter_2D_mean,network_diameter_2D_std,network_diameter_3D_mean,network_diameter_3D_std
0,human_neuron,625,512,676,729,632,6.448889394146858,631,49.333333333333336,0.9428090415820634,23.0,1.4142135623730951
1,rat_neuron,169,125,196,216,186,5.225746673713202,185,25.333333333333332,0.9428090415820634,14.0,1.4142135623730951
2,monkey_neuron,144,125,169,216,155,5.043425116919247,154,23.333333333333332,0.9428090415820634,14.0,1.4142135623730951
3,zebrafish_neuron,289,216,324,343,308,5.730099782973574,307,33.333333333333336,0.9428090415820634,17.0,1.4142135623730951
4,vascular_2,841,729,900,1000,862,6.759255270663693,861,57.333333333333336,0.9428090415820634,26.0,1.4142135623730951
5,vascular_3,784,729,841,1000,789,6.670766320845874,788,55.333333333333336,0.9428090415820634,26.0,1.4142135623730951
6,vascular_1,1521,1331,1600,1728,1558,7.351158226430694,1557,77.33333333333333,0.9428090415820634,32.0,1.4142135623730951
7,mitochondrial,49,27,64,64,61,4.110873864173311,60,13.333333333333334,0.9428090415820634,8.0,1.4142135623730951
8,root_1,961,729,1024,1000,987,6.894670039433482,986,61.333333333333336,0.9428090415820634,26.0,1.4142135623730951
9,root_2,400,343,441,512,412,6.021023349349527,411,39.333333333333336,0.9428090415820634,20.0,1.4142135623730951
10,anthill,15376,13824,15625,15625,15570,9.653101264828043,15569,247.33333333333334,0.9428090415820634,71.0,1.4142135623730951
11,fruit_fly_2,31684,29791,32041,32768,31710,10.364387367532393,31709,355.3333333333333,0.9428090415820634,92.0,1.4142135623730951
12,fruit_fly_3,48841,46656,49284,50653,49234,10.804339720721092,49233,441.3333333333333,0.9428090415820634,107.0,1.4142135623730951
13,fruit_fly_1,97969,97336,98596,103823,98424,11.497039955740005,98423,625.3333333333334,0.9428090415820634,137.0,1.4142135623730951
14,fruit_fly_4,32761,32768,33124,35937,32769,10.397238225511654,32768,361.3333333333333,0.9428090415820634,95.0,1.4142135623730951
